State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Andaman and Nicobar Islands,65,71,71,65,65,65,65,65,65,70,70,50,52,52,57,57,75
Andhra Pradesh,10809,11325,11642,11867,11639,13409,15036,16095,16949,17731,11275,14827,22298,23674,24184,24854,25484
Arunachal Pradesh,187,179,179,180,180,202,213,214,249,249,261,258,274,301,337,379,765
Assam,1133,1131,1181,955,980,979,979,1020,1140,1143,1263,1369,1600,1571,1710,1757,1794
Bihar,1644,1629,1629,1970,1970,1846,1922,1834,1868,2198,2760,2985,3608,4341,4566,5792,6321
Chandigarh,79,86,92,95,93,98,100,102,106,116,118,124,177,193,198,207,215
Chhattisgarh,1633,1649,1649,3103,3607,4769,4882,5347,6532,9975,13086,15540,12060,13527,14044,12835,13076
Dadra and Nagar Haveli,38,38,40,44,81,58,61,67,80,80,80,90,242,255,276,493,509
Daman and Diu,14,14,16,19,71,31,33,38,48,48,48,59,182,190,206,224,256
Delhi,3426,3513,3614,3689,3677,4115,5802,6587,7163,7824,8274,8347,7839,7180,7237,7582,7590
Goa,305,305,311,352,357,381,387,400,430,400,400,412,541,549,567,581,596
Gujarat,9291,9848,10270,11052,12110,13908,15723,21972,26414,27647,28961,29611,30716,31043,32291,35211,37893
Haryana,3934,3915,3959,4590,4530,5071,5985,6882,8114,8282,8754,8792,11056,11260,11268,12290,12481
Himachal Pradesh,1687,1656,1836,1858,1896,2030,2327,3585,3770,3986,4579,4424,3893,4047,4068,4007,4155
Jammu and Kashmir,1502,1455,1626,1709,2159,2264,2296,2307,2394,2579,2611,3122,3274,3389,3394,3417,3478
Jharkhand,1897,2017,2017,2153,2153,1943,1984,3038,2270,2580,2626,2626,2237,1771,1774,2514,2548
Karnataka,7557,7785,7785,8877,9347,10386,11546,13394,13759,14270,15150,17037,21317,27157,28075,29825,30091
Kerala,3473,3496,3496,3495,3514,3554,3719,3828,3856,3892,4107,4163,4999,5083,5083,5696,5837
Lakshadweep,10,10,10,11,11,10,11,11,11,11,11,1,1,1,1,1,1
Madhya Pradesh,5770,6199,6487,7752,8113,8324,8381,8780,10632,13805,15845,17644,19618,21728,23334,24821,25489
Maharashtra,15669,16157,17380,19583,20415,21379,22645,26142,30354,34867,38355,40376,41410,43255,44144,43496,44166
Manipur,159,158,158,158,158,158,158,158,179,179,200,206,233,242,259,268,262
Meghalaya,299,288,288,288,288,290,290,374,455,455,495,510,518,565,582,609,616
Mizoram,121,117,117,119,119,131,139,139,150,150,161,119,137,196,206,212,207
Nagaland,120,103,103,103,103,103,103,103,117,118,131,140,155,159,170,175,179
Odisha,3428,3476,3476,4051,4072,4059,5379,5996,6946,7737,9036,9422,8538,7377,7654,8567,8594
Puducherry,245,260,260,257,257,256,264,280,282,284,330,335,367,369,370,375,380
Punjab,6183,6266,6207,6530,6780,6922,7019,7056,7509,8379,10525,12455,14162,13432,13432,14205,14389
Rajasthan,7607,7716,5528,6243,6426,7768,8975,10161,12156,14282,16229,17784,19776,21684,22589,25360,26045
Sikkim,141,114,114,191,193,195,201,206,206,314,323,414,758,962,962,674,678
Tamil Nadu,11493,12331,12376,13563,14089,14410,15515,17602,19433,21193,22884,24747,29112,30327,31059,32840,33695
Telangana,.,.,.,.,.,.,.,.,.,.,9470,10892,11501,15139,15826,16024,17218
Tripura,239,244,244,243,243,244,265,265,412,433,627,677,727,733,752,764,724
Uttar Pradesh,8182,8597,9175,9278,9247,9984,10458,13054,14294,14375,15087,18632,23662,24909,25130,26162,27896
Uttarakhand,1443,1474,1992,2356,2383,2405,2455,2527,2561,2635,2809,3177,3313,3399,3403,3550,3731
West Bengal,5565,5411,5331,7432,7732,8150,8317,8567,8616,8959,9576,9984,10383,10518,10568,11027,11037
