State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Andaman and Nicobar Islands,-,466.1,533.5,505.4,516.6,505.4,505.4,536.9,489.5,473.8,473.8,473.8,473.8,789.6,850.1,850.1,850.1
Andhra Pradesh,656.9,686.7,764.7,807.1,874.9,967.9,1003.1,1005.7,970.5,1051.6,1140.2,1019.8,1098.6,1180.3,1289.4,1321.9,1254.5
Arunachal Pradesh,143.9,187.6,235.9,275.1,246.8,296,397.1,400,400.7,373.9,441.2,427.5,515.7,570.7,618.4,539.2,514
Assam,134.4,141.7,149.5,165.5,171.3,175.9,189.9,182.7,194,226.6,254.3,265.4,278.9,281.7,295.3,296.9,313.7
Bihar,78,87,93.3,95.6,106,119.4,129.8,108.5,123.6,142.2,180.7,227.9,242.1,256.3,287.3,303.8,327.7
Chandigarh,1274.7,1396.8,1488.9,1272.4,1570,1696.6,1686.6,1482.9,1552.1,1492.4,1532.2,1523.7,1559.7,1518,1480.1,1631.8,1434.9
Chhattisgarh,554.5,601.9,632.1,643.6,694.8,515.5,487.9,572.2,665.7,736.1,831.2,991,927.9,1011.4,1021,1163.6,1176.8
Dadra and Nagar Haveli,8299.7,11479,13057.3,15293.2,15678.7,17474.7,20064.4,12685,12830.6,15715.2,15470.2,17281.5,17561.5,17987.3,18424.8,19085.5,16071.3
Daman and Diu,7073.1,8362.6,8899.9,9987.1,9961.8,11390.4,12622.9,7883.5,7657.1,9270.9,8587.5,9620.8,9867.8,10431.8,10526.5,10592.3,9147.9
Delhi,1512.7,1536.5,1589.3,1610.1,1608.1,1739.6,1845.3,1592.2,1549,1599.2,1737.3,1765.8,1838.4,1898.6,1926.9,1974.4,1764.1
Goa,1592.4,1734.8,1933.7,2008.7,2043.5,2245.4,2292.1,2045,2131.4,2655.5,2697.4,3511.6,2962.2,2824.3,2936.1,2975.8,2793.1
Gujarat,1040.5,1034.8,1067.3,1137,1201,1326.6,1332.8,1232.6,1549,1465.4,1593.3,1714.7,1717.4,1821.2,1930.5,1890.4,1852
Haryana,972.4,1023,1094,1213.1,1259.2,1514.5,1543,1401.8,1507.1,1704.4,1831.4,1871.1,1928.5,2002.7,2116.7,2149.3,2094.7
Himachal Pradesh,644.5,700.6,822,956.6,1026.8,1113.7,1211.6,1182.4,1275.3,1295.6,1273,1277.3,1280.4,1362.9,1402.7,1509.9,1477.4
Jammu and Kashmir,728.2,756.3,787,824.4,857.5,979.2,1003.6,867.7,921,971.2,1045.4,1118.6,1131.3,1199.3,1264.5,1316.6,1394.5
Jharkhand,131.7,143.5,154.2,165.4,189.6,200.7,222.1,182.9,205.2,212.6,224.2,229.3,239.8,235.2,256.7,268.2,292.5
Karnataka,637.4,649.9,755.9,742.3,767.8,795.5,882.2,883.7,933.1,949.6,980.3,997.4,1088.5,1107.5,1172.7,1190.7,1125.9
Kerala,393.8,426.4,462.2,480,488.7,540.1,558,583.1,610.7,630.5,662.7,694.7,726.6,746.3,746.2,787.2,752.3
Lakshadweep,-,395.7,412.2,395.7,395.7,395.7,412.2,574.3,558.8,745,745,745,745,745,714,714,869.2
Madhya Pradesh,498.7,523.9,544,591.6,577.3,579.5,640.4,570.2,609.8,680.3,731.2,859.2,905.8,963.2,1042.3,1043.9,1143.5
